entity               ,category              ,start       ,end         ,duration,confidence,id
urban area           ,city                  ,00:01:19.920,00:01:27.560,7.64    ,0.456     ,c2B1ghS1fOE
disaster             ,event                 ,00:00:45.960,00:00:49.160,3.2     ,0.613     ,c2B1ghS1fOE
public space         ,city                  ,00:00:52.560,00:00:57.080,4.52    ,0.483     ,c2B1ghS1fOE
public space         ,city                  ,00:00:57.120,00:01:03.200,6.08    ,0.606     ,c2B1ghS1fOE
public space         ,city                  ,00:01:03.240,00:01:06.720,3.48    ,0.729     ,c2B1ghS1fOE
public space         ,city                  ,00:01:11.240,00:01:19.880,8.64    ,0.535     ,c2B1ghS1fOE
public space         ,city                  ,00:01:19.920,00:01:27.560,7.64    ,0.729     ,c2B1ghS1fOE
wildfire             ,disaster              ,00:00:45.960,00:00:49.160,3.2     ,0.539     ,c2B1ghS1fOE
community            ,organization          ,00:00:35.000,00:00:40.400,5.4     ,0.343     ,c2B1ghS1fOE
community            ,organization          ,00:00:57.120,00:01:03.200,6.08    ,0.452     ,c2B1ghS1fOE
community            ,organization          ,00:01:19.920,00:01:27.560,7.64    ,0.374     ,c2B1ghS1fOE
community            ,organization          ,00:01:37.040,00:01:40.480,3.44    ,0.374     ,c2B1ghS1fOE
street art           ,art                   ,00:01:45.280,00:01:51.000,5.72    ,0.566     ,c2B1ghS1fOE
facial expression    ,person                ,00:01:11.240,00:01:19.880,8.64    ,0.343     ,c2B1ghS1fOE
facial expression    ,person                ,00:01:19.920,00:01:27.560,7.64    ,0.426     ,c2B1ghS1fOE
sports               ,                      ,00:00:30.280,00:00:34.960,4.68    ,0.527     ,c2B1ghS1fOE
art                  ,                      ,00:01:45.280,00:01:51.000,5.72    ,0.468     ,c2B1ghS1fOE
