id         ,object_id,object_name                      ,time_seconds,left         ,top           ,right      ,bottom
c2B1ghS1fOE,ad06c7cb ,pants                            ,100.32      ,0.37863222   ,0.5248584     ,0.5108093  ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,100.44      ,0.37695152   ,0.52758497    ,0.51329315 ,0.99968517
c2B1ghS1fOE,0410ae1a ,top                              ,97.08       ,0.058937214  ,0.39009964    ,0.16754854 ,0.87749916
c2B1ghS1fOE,0410ae1a ,top                              ,97.2        ,0.055557974  ,0.3577808     ,0.1645414  ,0.8940341
c2B1ghS1fOE,0410ae1a ,top                              ,97.32       ,0.053806636  ,0.32726863    ,0.16365011 ,0.91037536
c2B1ghS1fOE,0410ae1a ,top                              ,97.44       ,0.054256197  ,0.30120108    ,0.16213964 ,0.92225325
c2B1ghS1fOE,0410ae1a ,top                              ,97.56       ,0.18163817   ,0.315779      ,0.26522627 ,0.5821687
c2B1ghS1fOE,0410ae1a ,top                              ,97.68       ,0.071793295  ,0.34100798    ,0.17977032 ,0.87040806
c2B1ghS1fOE,0410ae1a ,top                              ,97.8        ,0.06375313   ,0.36658284    ,0.1778175  ,0.8911426
c2B1ghS1fOE,0410ae1a ,top                              ,97.92       ,0.06797523   ,0.38996968    ,0.18370502 ,0.9055213
c2B1ghS1fOE,0410ae1a ,top                              ,98.04       ,0.08346965   ,0.42590958    ,0.19136734 ,0.90600276
c2B1ghS1fOE,0410ae1a ,top                              ,98.16       ,0.095470905  ,0.430962      ,0.2002149  ,0.9108319
c2B1ghS1fOE,0410ae1a ,top                              ,98.28       ,0.10238833   ,0.43463066    ,0.21025853 ,0.9253926
c2B1ghS1fOE,0410ae1a ,top                              ,98.4        ,0.11780789   ,0.40916258    ,0.22492188 ,0.9336441
c2B1ghS1fOE,0410ae1a ,top                              ,98.52       ,0.1307959    ,0.3982086     ,0.2328181  ,0.9290242
c2B1ghS1fOE,0410ae1a ,top                              ,98.64       ,0.14156435   ,0.39609006    ,0.24358656 ,0.92690563
c2B1ghS1fOE,0410ae1a ,top                              ,98.76       ,0.032559108  ,0.49867025    ,0.17828499 ,0.874974
c2B1ghS1fOE,0410ae1a ,top                              ,98.88       ,0.0019405507 ,0.5098426     ,0.15082183 ,0.88107395
c2B1ghS1fOE,0410ae1a ,top                              ,99.0        ,0.0          ,0.55941993    ,0.1497735  ,0.84909403
c2B1ghS1fOE,0410ae1a ,top                              ,99.12       ,0.0          ,0.5633749     ,0.15441447 ,0.84738684
c2B1ghS1fOE,0410ae1a ,top                              ,99.24       ,0.0006791108 ,0.5641338     ,0.15859902 ,0.8493953
c2B1ghS1fOE,0410ae1a ,top                              ,99.36       ,0.003069737  ,0.56395656    ,0.1616769  ,0.8489121
c2B1ghS1fOE,0410ae1a ,top                              ,99.48       ,0.0050719776 ,0.5642716     ,0.16270068 ,0.8453797
c2B1ghS1fOE,0410ae1a ,top                              ,99.6        ,0.0054166983 ,0.5605813     ,0.16691259 ,0.8478289
c2B1ghS1fOE,0410ae1a ,top                              ,99.72       ,0.007039558  ,0.56125194    ,0.16773339 ,0.84685564
c2B1ghS1fOE,0410ae1a ,top                              ,99.84       ,0.007250246  ,0.56322813    ,0.16883828 ,0.8498113
c2B1ghS1fOE,0410ae1a ,top                              ,99.96       ,0.007619159  ,0.5672392     ,0.16905338 ,0.84813297
c2B1ghS1fOE,0410ae1a ,top                              ,100.08      ,0.007475036  ,0.56907415    ,0.1696526  ,0.84970236
c2B1ghS1fOE,0410ae1a ,top                              ,100.2       ,0.0072378498 ,0.5737508     ,0.17060333 ,0.8488879
c2B1ghS1fOE,0410ae1a ,top                              ,100.32      ,0.006559443  ,0.5781168     ,0.17249815 ,0.84873104
c2B1ghS1fOE,0410ae1a ,top                              ,100.44      ,0.0064929007 ,0.58064127    ,0.17619568 ,0.84810245
c2B1ghS1fOE,dc932c06 ,top                              ,97.08       ,0.27267614   ,0.31464282    ,0.48161203 ,0.6330415
c2B1ghS1fOE,dc932c06 ,top                              ,97.2        ,0.27346602   ,0.24528545    ,0.4854511  ,0.6037406
c2B1ghS1fOE,dc932c06 ,top                              ,97.32       ,0.27553374   ,0.21160221    ,0.49462116 ,0.5892404
c2B1ghS1fOE,dc932c06 ,top                              ,97.44       ,0.2768184    ,0.18295962    ,0.5040976  ,0.5709296
